S.No,dept,Subject,Topic,level,Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Choice ,Explanation ,Reference,Unit Number
1,IT,JAVA,Java Basics,1,Java Source Code is compiled into?,.Obj,Source Code,Byte Code,.Exe,3,When we compile the Java program the compiler will convert source code to Byte Code nothing but .class files. Which is platform independent.,c4learn.com,1
2,IT,JAVA,Java Basics,1,Which of the following is not OOPS concept in Java?,Inheritance,Encapsulation,Polymorphism,Exception Handling,4,"There are 4 OOPS concepts in Java. Inheritance, Encapsulation, Polymorphism and Abstraction.",www.sanfoundry.com,1
3,IT,JAVA,Java Basics,1,Which statement is true about java?,Sequence dependent programming language,Platform independent programming language,Platform dependent programming language,Code dependent programming language,2,"Java is called ‘Platform Independent Language’ as it primarily works on the principle of ‘compile once, run everywhere’.",www.sanfoundry.com,1
4,IT,JAVA,Java Basics,1,Which component is responsible to optimize bytecode to machine code?,JVM,JDK,JIT,JRE,3,JIT optimizes bytecode to machine specific language code by compiling similar bytecodes at the same time. This reduces overall time taken for compilation of bytecode to machine specific language.,www.sanfoundry.com,1
5,IT,JAVA,Java Basics,2,Which of the below is invalid identifier with the main method?,public,static,private,final,3,main method cannot be private as it is invoked by external method. Other identifier are valid with main method.,www.sanfoundry.com,1
6,IT,JAVA,Java Basics,2,Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation, Inheritance,Polymorphism,Abstraction,1,Encapsulation is implemented by combining methods and attribute into a class. The class acts like a container of encapsulating properties.,www.sanfoundry.com,1
7,IT,JAVA,Java Basics,2,Which of the following is a type of polymorphism in Java,Compile time polymorphism,Execution time polymorphism,Multiple polymorphism,Multilevel polymorphism,1,There are two types of polymorphism in Java. Compile time polymorphism (overloading) and runtime polymorphism (overriding).,www.sanfoundry.com,1
8,IT,JAVA,Java Basics,2,"In the beginning , Java was created in order to -",Create Strong Programming alternative to C++,Perform Operations on the Internet,Connect many household machines,Create high performance OS,3,Basic aim of java was to solve the problem of connecting many household machines together.,c4learn.com,1
9,IT,JAVA,Java Basics,3,Which concept of Java is a way of converting real world objects in terms of class?, Polymorphism,Encapsulation,Abstraction,Inheritance,3,Abstraction is the concept of defining real world objects in terms of classes or interfaces.,www.sanfoundry.com,1
10,IT,JAVA,Java Basics,3,What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition,Encapsulation,Association,4,"It is a relationship where all objects have their own lifecycle and there is no owner. This occurs where many to many relationships are available, instead of one to one or one to many.",www.sanfoundry.com,1
